
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2548272e+03; maximum gradient component mag 6.0819e+01
 28 -0.01320 -9.58908e-03 | 29 -0.01325 -9.34802e-03 | 30 -0.01328 -8.77124e-03
 31 -0.01328 -7.83098e-03 | 32 -0.01326 -6.50044e-03 | 33 -0.01320 -4.74993e-03
 34 -0.01312 -2.56099e-03 | 35 -0.01300  7.36727e-05 | 36 -0.01285  3.17291e-03
 37 -0.01266  6.73230e-03 | 38 -0.01243  1.07540e-02 | 39 -0.01216  1.52304e-02
 40 -0.01184  2.01482e-02 | 41 -0.01149  2.54847e-02 | 42 -0.01110  3.11946e-02
 43 -0.01067  3.72355e-02 | 44 -0.01021  4.35355e-02 | 45 -0.00973  5.00183e-02
 46 -0.00922  5.66175e-02 | 47 -0.00871  6.32419e-02 | 48 -0.00820  6.98204e-02
 49 -0.00770  7.62602e-02 | 50 -0.00723  8.24850e-02 | 51 -0.00679  8.84305e-02
 52 -0.00639  9.40200e-02 | 53 -0.00604  9.92188e-02 | 54 -0.00574  1.03975e-01
 55 -0.00548  1.08168e-01 | 56 -0.00524  1.11674e-01 | 57 -0.00500  1.14427e-01
 58 -0.00475  1.16284e-01 | 59 -0.00445  1.17134e-01 | 60 -0.00408  1.16980e-01
 61 -0.00360  1.15923e-01 | 62 -0.00298  1.14062e-01 | 63 -0.00219  1.11799e-01
 64 -0.00118  1.09604e-01 | 65  0.00007  1.08044e-01 | 66  0.00159  1.07772e-01
 67  0.00342  1.09128e-01 | 68  0.00557  1.11997e-01 | 69  0.00805  1.15518e-01
 70  0.01084  1.17977e-01 | 71  0.01390  1.17097e-01 | 72  0.01716  1.10909e-01
 73  0.02053  9.96066e-02 | 74  0.02387  8.62203e-02 | 75  0.02702  7.55602e-02
 76  0.02979  7.17166e-02 | 77  0.03198  7.39867e-02 | 78  0.03344  7.85025e-02
 79  0.03414  8.27191e-02 | 80  0.03415  8.62321e-02 | 81  0.03357  9.04213e-02
 82  0.03245  9.59666e-02 | 83  0.03074  1.02041e-01 | 84  0.02832  1.04976e-01
 85  0.02513  9.91229e-02 | 86  0.02132  8.29306e-02 | 87  0.01733  6.39191e-02
 88  0.01372  5.22495e-02 | 89  0.01092  4.99432e-02 | 90  0.00904  5.27531e-02
 91  0.00786  5.70737e-02 | 92  0.00696  6.15650e-02 | 93  0.00622  6.35145e-02
 94  0.00608  5.65380e-02 | 95  0.00666  4.05723e-02 | 96  0.00688  3.32329e-02
 97  0.00847  2.48384e-03 | 98  0.01100 -3.62132e-02 | 99  0.01494 -8.07677e-02
100  0.01525 -8.63320e-02 |101  0.01417 -1.09125e-01 |102  0.01261 -1.31011e-01
103  0.00463 -6.13108e-02 |104  0.00506 -6.25137e-02 |105  0.02309 -2.38379e-01
106  0.02007 -3.56349e-01 |107 -0.00450 -4.23639e-01 |108  0.01328 -4.88801e-01
109  0.07882 -8.94070e-01 |110  0.02850 -2.35806e-01 |111 -0.01493 -2.46491e-01
112  0.00467 -5.11810e-02 |113  0.01920  9.96590e-02 |114  0.03954 -4.06145e-02
115  0.00457 -4.39418e-01 |116 -0.06112 -7.33959e-01 |117 -0.07708 -5.52912e-01
118 -0.07393  6.78104e-01 |119 -0.03099  7.75343e-01 |120  0.07238  2.88234e-01
121  0.02372 -8.97102e-01 |122  0.01422 -2.03730e-01 |123 -0.02851  4.11425e-01
124 -0.06858  2.24192e-01 |125 -0.00924  5.32509e-01 |126  0.00217  9.38663e-02
127 -0.02798  2.32519e-01 |128  0.02555  2.83005e-02 |129  0.07509  5.37800e-02
130  0.00859 -3.48005e-02 |131  0.08718 -7.30122e-03 |132  0.00779 -4.50746e-01
133  0.13705 -1.67795e-01 |134 -0.00422  8.23130e-01 |135 -0.04798 -3.94726e-01
136 -0.05823  3.83899e-01 |137 -0.02251  1.07372e-01 |138  0.09392  2.11381e-01
139  0.03118  1.20002e-02 |140  0.01649 -1.45395e-01 |141 -0.02852 -1.23161e-01
142 -0.01802  2.37103e-01 |143 -0.00657 -3.33633e-01 |144 -0.00041 -1.05415e-03
145  0.28500  8.18453e-01 |146  0.19505  3.54452e+00 |

 - final statistics:
146 variables; iteration 32; function evaluation 42
Function value 7.2543e+03; maximum gradient component mag 9.7617e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42686  1.50388e+00 |  2  0.37084 -5.61906e+00 |  3 -0.12507 -2.84095e+00
  4 -0.01350 -4.17928e+00 |  5 -0.70293 -1.33548e+00 |  6 -0.60640 -3.23662e+00
  7  0.37690  9.76166e+00 |  8 -0.18825  6.75487e+00 |  9  0.03606  5.70248e+00
 10 -0.60023 -5.70669e-01 | 11 -0.62646 -1.34236e+00 | 12 -0.09775  9.76512e-01
 13 -0.01062  1.79990e-03 | 14 -0.01085  1.83773e-03 | 15 -0.01108  1.84034e-03
 16 -0.01130  1.80352e-03 | 17 -0.01152  1.72445e-03 | 18 -0.01173  1.60136e-03
 19 -0.01193  1.43207e-03 | 20 -0.01213  1.21623e-03 | 21 -0.01231  9.55799e-04
 22 -0.01248  6.52262e-04 | 23 -0.01265  3.08258e-04 | 24 -0.01279 -7.02109e-05
 25 -0.01292 -4.80065e-04 | 26 -0.01304 -9.17529e-04 | 27 -0.01313 -1.38035e-03
 28 -0.01321 -1.86453e-03 | 29 -0.01326 -2.36420e-03 | 30 -0.01329 -2.86916e-03
 31 -0.01329 -3.37188e-03 | 32 -0.01327 -3.86743e-03 | 33 -0.01322 -4.35296e-03
 34 -0.01314 -4.83023e-03 | 35 -0.01303 -5.30564e-03 | 36 -0.01288 -5.78676e-03
 37 -0.01270 -6.28582e-03 | 38 -0.01248 -6.81466e-03 | 39 -0.01222 -7.38633e-03
 40 -0.01192 -8.01490e-03 | 41 -0.01158 -8.71696e-03 | 42 -0.01120 -9.51322e-03
 43 -0.01079 -1.04264e-02 | 44 -0.01034 -1.14807e-02 | 45 -0.00987 -1.26964e-02
 46 -0.00939 -1.40881e-02 | 47 -0.00889 -1.56659e-02 | 48 -0.00840 -1.74356e-02
