
Initial statistics: 135 variables; iteration 0; function evaluation 0; phase 1
Function value 6.1071593e+03; maximum gradient component mag -2.2413e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 52 -0.00572  1.88063e-01 | 53 -0.00567  1.86645e-01 | 54 -0.00565  1.83454e-01
 55 -0.00566  1.78437e-01 | 56 -0.00566  1.71587e-01 | 57 -0.00565  1.62849e-01
 58 -0.00558  1.52030e-01 | 59 -0.00544  1.38894e-01 | 60 -0.00519  1.23136e-01
 61 -0.00483  1.04548e-01 | 62 -0.00431  8.31111e-02 | 63 -0.00360  5.93589e-02
 64 -0.00269  3.47008e-02 | 65 -0.00153  1.16360e-02 | 66 -0.00009 -6.00011e-03
 67  0.00167 -1.42980e-02 | 68  0.00377 -1.13796e-02 | 69  0.00622 -1.35734e-03
 70  0.00894  1.98298e-03 | 71  0.01182 -2.25330e-02 | 72  0.01473 -9.01076e-02
 73  0.01762 -1.90696e-01 | 74  0.02053 -2.86650e-01 | 75  0.02347 -3.44489e-01
 76  0.02619 -3.74239e-01 | 77  0.02831 -4.17103e-01 | 78  0.02960 -4.91630e-01
 79  0.03007 -5.84760e-01 | 80  0.02987 -6.82700e-01 | 81  0.02908 -7.81612e-01
 82  0.02774 -8.83440e-01 | 83  0.02575 -9.95639e-01 | 84  0.02296 -1.13064e+00
 85  0.01940 -1.28017e+00 | 86  0.01553 -1.39284e+00 | 87  0.01182 -1.44674e+00
 88  0.00854 -1.49629e+00 | 89  0.00594 -1.58267e+00 | 90  0.00425 -1.68857e+00
 91  0.00336 -1.78520e+00 | 92  0.00291 -1.85676e+00 | 93  0.00270 -1.90558e+00
 94  0.00317 -1.94506e+00 | 95  0.00438 -1.98699e+00 | 96  0.00450 -2.12703e+00
 97  0.00616 -2.26777e+00 | 98  0.00890 -2.36714e+00 | 99  0.01294 -2.53372e+00
100  0.01260 -2.72328e+00 |101  0.01066 -2.97537e+00 |102  0.00849 -3.21889e+00
103 -0.00008 -3.29590e+00 |104  0.00108 -3.25861e+00 |105  0.02193 -3.19957e+00
106  0.02372 -1.94556e+00 |107 -0.00233 -1.07558e+00 |108  0.01656 -1.77118e-01
109  0.08717  1.71356e+00 |110  0.02957  2.34534e+00 |111 -0.01373  2.21526e+00
112  0.00660  3.26132e+00 |113  0.01773  3.08326e+00 |114  0.03949  5.31531e+00
115  0.00318  4.04213e+00 |116 -0.06362  2.40191e+00 |117 -0.07848  2.91833e+00
118 -0.07641  2.74620e+00 |119 -0.03399  2.28226e+00 |120  0.06150  1.72324e+00
121  0.02373  4.47146e+00 |122  0.00952  2.18173e+00 |123 -0.03831 -1.75158e+00
124 -0.07961 -2.08278e+00 |125 -0.01823 -7.14406e-01 |126 -0.00906 -2.31324e-01
127 -0.03843 -9.23663e-01 |128  0.01770 -1.38652e+00 |129  0.07106 -1.50289e+00
130  0.01963 -2.14560e+00 |131  0.09860 -1.04887e+00 |132  0.01942  4.30916e-02
133  0.15513 -5.22717e-01 |134  0.01126 -6.23656e-01 |135 -0.03237 -5.50076e-01
136 -0.04038 -1.26552e-02 |137 -0.01728  2.15280e-01 |138  0.05854 -6.39503e-01
139  0.00033  2.83840e-01 |140 -0.00180 -3.70245e-01 |141 -0.00540 -1.82350e-01
142 -0.00028 -2.71757e-03 |143  0.00000  5.14562e-14 |144  0.26985 -9.94160e+00
145  0.18312 -4.21331e+00 |

 - final statistics:
145 variables; iteration 32; function evaluation 42
Function value 6.0614e+03; maximum gradient component mag -4.5006e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42185 -8.58426e-01 |  2  0.37309 -9.01161e-01 |  3 -0.13017  1.20985e+00
  4 -0.00857 -7.25852e-01 |  5 -0.72801  4.90362e-01 |  6 -0.60826  2.52284e+00
  7  0.37613 -4.03827e+00 |  8 -0.18358 -4.50061e+00 |  9  0.03630 -2.64030e+00
 10 -0.62247 -1.03523e+00 | 11 -0.62788  1.72204e+00 | 12 -0.08444 -1.09192e+00
 13 -0.00876  2.56018e-02 | 14 -0.00894  2.60303e-02 | 15 -0.00912  2.64514e-02
 16 -0.00930  2.68595e-02 | 17 -0.00947  2.72498e-02 | 18 -0.00964  2.76129e-02
 19 -0.00979  2.79385e-02 | 20 -0.00994  2.82153e-02 | 21 -0.01008  2.84302e-02
 22 -0.01020  2.85687e-02 | 23 -0.01031  2.86144e-02 | 24 -0.01041  2.85497e-02
 25 -0.01050  2.83550e-02 | 26 -0.01056  2.80087e-02 | 27 -0.01061  2.74872e-02
 28 -0.01064  2.67651e-02 | 29 -0.01065  2.58154e-02 | 30 -0.01064  2.46100e-02
 31 -0.01061  2.31214e-02 | 32 -0.01055  2.13198e-02 | 33 -0.01047  1.91750e-02
 34 -0.01037  1.66559e-02 | 35 -0.01024  1.37321e-02 | 36 -0.01008  1.03746e-02
 37 -0.00991  6.55591e-03 | 38 -0.00970  2.25120e-03 | 39 -0.00947 -2.56452e-03
 40 -0.00922 -7.91979e-03 | 41 -0.00896 -1.38342e-02 | 42 -0.00867 -2.03349e-02
 43 -0.00838 -2.74416e-02 | 44 -0.00808 -3.51625e-02 | 45 -0.00779 -4.34914e-02
 46 -0.00751 -5.24033e-02 | 47 -0.00725 -6.18548e-02 | 48 -0.00701 -7.17808e-02
 49 -0.00682 -8.20897e-02 | 50 -0.00667 -9.26572e-02 | 51 -0.00657 -1.03322e-01
 52 -0.00651 -1.13893e-01 | 53 -0.00649 -1.24188e-01 | 54 -0.00651 -1.34044e-01
