
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 55 -0.00425  4.40760e-01 | 56 -0.00409  4.33597e-01 | 57 -0.00396  4.21953e-01
 58 -0.00381  4.05519e-01 | 59 -0.00363  3.84643e-01 | 60 -0.00338  3.60245e-01
 61 -0.00302  3.34354e-01 | 62 -0.00251  3.10111e-01 | 63 -0.00179  2.92312e-01
 64 -0.00080  2.87164e-01 | 65  0.00052  3.01511e-01 | 66  0.00222  3.41260e-01
 67  0.00434  4.07930e-01 | 68  0.00688  4.94211e-01 | 69  0.00976  5.78302e-01
 70  0.01281  6.21944e-01 | 71  0.01579  5.80513e-01 | 72  0.01852  4.34117e-01
 73  0.02105  2.25894e-01 | 74  0.02370  5.56265e-02 | 75  0.02668 -3.30982e-03
 76  0.02974  3.11701e-02 | 77  0.03240  1.02956e-01 | 78  0.03436  1.80356e-01
 79  0.03548  2.43481e-01 | 80  0.03571  2.77265e-01 | 81  0.03512  2.79488e-01
 82  0.03379  2.56844e-01 | 83  0.03171  2.16511e-01 | 84  0.02886  1.72662e-01
 85  0.02530  1.48600e-01 | 86  0.02137  1.78694e-01 | 87  0.01763  3.06257e-01
 88  0.01437  4.87001e-01 | 89  0.01146  5.83300e-01 | 90  0.00894  5.29527e-01
 91  0.00699  3.69701e-01 | 92  0.00572  1.78776e-01 | 93  0.00516  1.42940e-02
 94  0.00542 -9.50968e-02 | 95  0.00662 -1.54361e-01 | 96  0.00859 -2.02912e-01
 97  0.01064 -2.81157e-01 | 98  0.01191 -3.77552e-01 | 99  0.01223 -4.55691e-01
100  0.01234 -5.26809e-01 |101  0.01307 -5.91816e-01 |102  0.01494 -5.67770e-01
103  0.01816 -5.31313e-01 |104  0.01875 -1.54826e+00 |105  0.01289 -3.94425e+00
106  0.01279 -4.61510e+00 |107  0.02089 -3.55358e+00 |108  0.00939 -6.66663e+00
109  0.02126 -5.52532e+00 |110  0.01571 -6.07473e+00 |111  0.01949 -4.99201e+00
112  0.01744 -4.69152e+00 |113  0.02032 -2.52031e+00 |114  0.01721 -1.96455e+00
115 -0.00710  1.46230e-01 |116 -0.05942 -1.20261e+00 |117 -0.07354 -5.59719e-01
118 -0.07004 -2.56036e-01 |119 -0.04572  1.43529e-01 |120  0.05560  7.68518e-01
121  0.01240  1.92111e+00 |122  0.01282  1.79067e+00 |123 -0.03072  2.19627e+00
124 -0.06967  1.62606e+00 |125 -0.01302  1.18137e+00 |126 -0.00402  1.53624e-01
127 -0.03514 -2.88443e-01 |128  0.02325  1.39718e+00 |129  0.06441  1.86754e+00
130  0.01588  4.63135e+00 |131  0.07430  6.20856e-01 |132  0.00298  4.33354e-01
133  0.12830  9.09466e-01 |134 -0.00841 -1.29639e-01 |135 -0.04895 -2.34555e-01
136 -0.06063 -8.87223e-01 |137 -0.02336 -6.93552e-03 |138  0.09431  1.21710e+00
