
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3096801e+03; maximum gradient component mag -2.6498e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42456  1.76493e+00 |  2  0.37195  2.28602e+01 |  3 -0.12603 -5.66467e+00
  4 -0.01398  9.64280e+00 |  5 -0.70738 -2.18654e-01 |  6 -0.60418  1.15645e+01
  7  0.37754  3.50149e+01 |  8 -0.18463  3.02058e+01 |  9  0.03241  2.69527e+01
 10 -0.60494 -1.80051e+00 | 11 -0.62449  6.86946e+00 | 12 -0.08913  2.52819e+00
 13 -0.01029 -2.40819e-02 | 14 -0.01052 -2.71234e-02 | 15 -0.01075 -3.04670e-02
 16 -0.01098 -3.41093e-02 | 17 -0.01120 -3.80414e-02 | 18 -0.01142 -4.22436e-02
 19 -0.01163 -4.66884e-02 | 20 -0.01184 -5.13392e-02 | 21 -0.01204 -5.61495e-02
 22 -0.01222 -6.10645e-02 | 23 -0.01239 -6.60219e-02 | 24 -0.01255 -7.09526e-02
 25 -0.01269 -7.57833e-02 | 26 -0.01282 -8.04392e-02 | 27 -0.01292 -8.48417e-02
 28 -0.01301 -8.89054e-02 | 29 -0.01307 -9.25331e-02 | 30 -0.01310 -9.56177e-02
 31 -0.01311 -9.80574e-02 | 32 -0.01309 -9.97589e-02 | 33 -0.01304 -1.00645e-01
 34 -0.01296 -1.00662e-01 | 35 -0.01285 -9.97786e-02 | 36 -0.01269 -9.79948e-02
 37 -0.01250 -9.53332e-02 | 38 -0.01227 -9.18359e-02 | 39 -0.01200 -8.75546e-02
 40 -0.01169 -8.25460e-02 | 41 -0.01133 -7.68577e-02 | 42 -0.01094 -7.05223e-02
 43 -0.01051 -6.35437e-02 | 44 -0.01005 -5.58716e-02 | 45 -0.00956 -4.73904e-02
 46 -0.00905 -3.79204e-02 | 47 -0.00853 -2.72457e-02 | 48 -0.00800 -1.51700e-02
 49 -0.00748 -1.56988e-03 | 50 -0.00699  1.35572e-02 | 51 -0.00652  3.00706e-02
 52 -0.00609  4.76851e-02 | 53 -0.00571  6.60005e-02 | 54 -0.00537  8.44908e-02
 55 -0.00507  1.02497e-01 | 56 -0.00480  1.19233e-01 | 57 -0.00454  1.33766e-01
 58 -0.00428  1.44943e-01 | 59 -0.00398  1.51468e-01 | 60 -0.00363  1.51906e-01
 61 -0.00321  1.45012e-01 | 62 -0.00267  1.30258e-01 | 63 -0.00198  1.09143e-01
 64 -0.00109  8.71092e-02 | 65  0.00008  7.56207e-02 | 66  0.00164  9.27144e-02
 67  0.00369  1.56819e-01 | 68  0.00626  2.69431e-01 | 69  0.00920  3.88135e-01
 70  0.01208  4.15144e-01 | 71  0.01440  2.54130e-01 | 72  0.01629 -3.98677e-02
 73  0.01888 -1.95739e-01 | 74  0.02232 -1.68346e-01 | 75  0.02541 -1.73428e-01
 76  0.02883 -3.53632e-02 | 77  0.03180  1.23579e-01 | 78  0.03320  1.22199e-01
 79  0.03409  1.63701e-01 | 80  0.03463  2.61184e-01 | 81  0.03426  2.97430e-01
 82  0.03282  2.31223e-01 | 83  0.03037  8.00851e-02 | 84  0.02704 -1.20693e-01
 85  0.02267 -4.01461e-01 | 86  0.01859 -5.27757e-01 | 87  0.01454 -6.20750e-01
 88  0.01096 -6.92143e-01 | 89  0.01005 -3.41633e-01 | 90  0.00924 -1.72818e-01
 91  0.00765 -3.49212e-01 | 92  0.00570 -6.95412e-01 | 93  0.00391 -1.05649e+00
 94  0.00318 -1.33487e+00 | 95  0.00386 -1.47572e+00 | 96  0.00437 -1.56721e+00
 97  0.00609 -1.71867e+00 | 98  0.00829 -1.96331e+00 | 99  0.01282 -2.01444e+00
100  0.01164 -2.38022e+00 |101  0.00983 -2.51293e+00 |102  0.00874 -2.32847e+00
103  0.00118 -1.98608e+00 |104  0.00469 -1.08612e+00 |105  0.02592 -7.33847e-01
106  0.01866 -1.90725e+00 |107 -0.00408 -1.29491e+00 |108  0.01253 -1.41176e+00
109  0.08691  3.94642e-02 |110  0.02569 -1.07274e+00 |111 -0.01346  1.78779e-01
112  0.00506  3.87783e-01 |113  0.02014  6.71442e-01 |114  0.04078  1.60828e+00
115  0.00768  2.61079e+00 |116 -0.05712  3.09528e+00 |117 -0.07423  4.29801e+00
118 -0.07646  5.35553e+00 |119 -0.04446  3.66906e+00 |120  0.06441  5.14472e+00
121  0.03317  3.29535e+00 |122  0.01263 -6.23946e-02 |123 -0.02781  9.69117e-01
124 -0.06899 -1.07659e+00 |125  0.00221 -6.05376e-02 |126 -0.00301 -7.73705e-01
127 -0.00831 -2.64865e-01 |128  0.02768  7.91362e-01 |129  0.08502  1.72159e+00
130  0.01631  1.46696e+00 |131  0.09117  2.63728e-01 |132  0.01576  6.88389e-01
133  0.13661 -9.67298e-01 |134 -0.00402  3.72802e-01 |135 -0.03481  3.94704e-01
136 -0.04826 -5.97994e-02 |137 -0.01234 -6.44976e-02 |138  0.07907 -5.81562e-01
139  0.01207  9.17831e-01 |140 -0.00388 -1.50170e+00 |141 -0.03437  7.72535e-01
142 -0.01973  1.60356e-01 |143 -0.00811 -2.30096e-01 |144  0.00000 -4.41980e-11
145  0.27184  3.24193e+00 |146  0.18405  5.21493e+00 |

 - final statistics:
146 variables; iteration 32; function evaluation 40
Function value 7.2677e+03; maximum gradient component mag 7.7307e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42459  4.31868e-01 |  2  0.37184  4.92465e+00 |  3 -0.12551 -1.20600e+00
  4 -0.01452  2.08601e+00 |  5 -0.70496  1.13546e-02 |  6 -0.60462  2.50547e+00
  7  0.37771  7.73068e+00 |  8 -0.18453  6.61447e+00 |  9  0.03145  5.99815e+00
 10 -0.60171 -6.28084e-01 | 11 -0.62485  1.55083e+00 | 12 -0.08683  7.70011e-01
 13 -0.01035 -3.45011e-02 | 14 -0.01058 -3.60835e-02 | 15 -0.01080 -3.78260e-02
 16 -0.01102 -3.97344e-02 | 17 -0.01124 -4.18106e-02 | 18 -0.01146 -4.40519e-02
 19 -0.01166 -4.64504e-02 | 20 -0.01186 -4.89924e-02 | 21 -0.01205 -5.16576e-02
 22 -0.01222 -5.44198e-02 | 23 -0.01239 -5.72470e-02 | 24 -0.01254 -6.01015e-02
 25 -0.01267 -6.29417e-02 | 26 -0.01279 -6.57229e-02 | 27 -0.01289 -6.83971e-02
 28 -0.01297 -7.09106e-02 | 29 -0.01303 -7.32029e-02 | 30 -0.01306 -7.52080e-02
 31 -0.01306 -7.68628e-02 | 32 -0.01304 -7.81094e-02 | 33 -0.01299 -7.88987e-02
 34 -0.01291 -7.91931e-02 | 35 -0.01280 -7.89688e-02 | 36 -0.01265 -7.82153e-02
 37 -0.01246 -7.69340e-02 | 38 -0.01224 -7.51351e-02 | 39 -0.01197 -7.28318e-02
 40 -0.01166 -7.00380e-02 | 41 -0.01131 -6.67646e-02 | 42 -0.01093 -6.30129e-02
 43 -0.01050 -5.87725e-02 | 44 -0.01005 -5.40143e-02 | 45 -0.00957 -4.86907e-02
 46 -0.00907 -4.27439e-02 | 47 -0.00856 -3.61218e-02 | 48 -0.00805 -2.87984e-02
 49 -0.00755 -2.07886e-02 | 50 -0.00707 -1.21552e-02 | 51 -0.00662 -3.00598e-03
